,indices,bandes,1,2,3,4,5,6,7,8
1,/,/,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI
2,/,/,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV
36,ND,ND_B3_B12,-0.42995996922682256,-0.39327520721106735,-0.3485620416809475,-0.30708818041528496,-0.3634585313800324,-0.34633509844676164,,
37,SR,SR_B3_B12,0.402777350572842,0.4378934962598655,0.4882573853545675,0.5319697047420733,0.4688075201898952,0.48873719011992534,,
38,SR,SR_B4_B2,1.77298179797013,1.668461265107149,1.5162721767186094,1.3907346192737102,1.5817194549316038,1.6313188875793372,,
39,SR,SR_B4_B3,1.2310010232819193,1.273286588812239,1.2033052789179284,1.167957535833464,1.268375929621618,1.2248925634618641,,
40,ND,ND_B4_B5,-0.2167507906909372,-0.13925186263096645,-0.13550653319663977,-0.08598379774840037,-0.124832483250976,-0.17698666506245764,,
41,SR,SR_B4_B5,0.6525848898092191,0.7582604985297662,0.7647298814485812,0.8440055884209866,0.7809633638894911,0.7052979411982953,,
42,ND,ND_B4_B6,-0.433193179579506,-0.2924322135523006,-0.2966272696299937,-0.19268756921588526,-0.2686565974666597,-0.3759565375209933,,
43,SR,SR_B4_B6,0.40249507488827785,0.5502825675566057,0.5456074493221867,0.6795196338757504,0.5783632740823026,0.45767276357639414,,
44,ND,ND_B4_B7,-0.4816456098830404,-0.3419046384236804,-0.3367247973643361,-0.22639143095207231,-0.31330978973212903,-0.42451614669700716,,
45,SR,SR_B4_B7,0.35576497545851526,0.4930392258839711,0.49919325978176027,0.6333045949032237,0.5246307603689113,0.40767760747997944,,
46,ND,ND_B4_B8,-0.5059836150285066,-0.37208497113270506,-0.3561892423577985,-0.24655860406196242,-0.34396614633585526,-0.44901358693731824,,
47,SR,SR_B4_B8,0.33240054441694006,0.45977967790671903,0.47787679470290445,0.6061643976585526,0.4891053671788819,0.3826157444584282,,
48,ND,ND_B4_B8A,-0.5361830567342072,-0.40298989554600123,-0.3816496983211616,-0.2730149744438266,-0.3711210959360865,-0.47456826287443116,,
49,SR,SR_B4_B8A,0.30634849583024154,0.42766500719681605,0.4506016711495253,0.5732498167658678,0.4600978474293494,0.3592936148593456,,
50,ND,ND_B4_B11,-0.5252342227419778,-0.4579919250468632,-0.40490393588719176,-0.3451594160208033,-0.4326977259041724,-0.4573246924579979,,
51,SR,SR_B4_B11,0.3138833670317083,0.3729923063774412,0.42668306342790835,0.48809531890128977,0.3972125992396381,0.374688381579085,,
52,ND,ND_B4_B12,-0.34442619771293936,-0.288043582684083,-0.2671145978124743,-0.2358634152007665,-0.2570440001425552,-0.2552387845152091,,
53,SR,SR_B4_B12,0.49323958932561485,0.5548056843370567,0.582207331430163,0.620138046385148,0.5934989357903334,0.5985547354595966,,
54,SR,SR_B5_B2,2.813576231477867,2.2303945884994865,2.0135314785082077,1.6618929463065009,2.0447063589098873,2.354925202321334,,
55,SR,SR_B5_B3,1.9645031731385976,1.6954098114244416,1.5923091307646047,1.3925667362232619,1.6389852992101317,1.7681269835959514,,
56,SR,SR_B5_B4,1.6089355220239938,1.3296062163606253,1.321205979097955,1.192455103768195,1.2922448542765512,1.4494031284700433,,
57,ND,ND_B5_B6,-0.24305669124363616,-0.16029132681699254,-0.1685123921016159,-0.10881462362430207,-0.14909726189831538,-0.21474306794565795,,
58,SR,SR_B5_B6,0.6121386265118853,0.7245072643092129,0.7128451087600984,0.804477886187906,0.74121751173688,0.6479717394542891,,
59,ND,ND_B5_B7,-0.3006082717846558,-0.21360487040119894,-0.21165087075262046,-0.14358606967154247,-0.1965607466990424,-0.26964050146223445,,
60,SR,SR_B5_B7,0.5407498690540147,0.6488826850453734,0.65205787182662,0.7497446702086767,0.672235814305065,0.5767265290662891,,
61,ND,ND_B5_B8,-0.32784058719685805,-0.24630582465512127,-0.23269556563172308,-0.16428157943906976,-0.22879014936547767,-0.29632171809376634,,
62,SR,SR_B5_B8,0.5101273723346214,0.6056997047385115,0.6247280845668057,0.7187628303332977,0.6292059207281495,0.5448361466129141,,
63,ND,ND_B5_B8A,-0.3668461718367986,-0.28041516779310727,-0.2606512012152591,-0.1920193010456577,-0.25877921748875987,-0.32708359337664916,,
64,SR,SR_B5_B8A,0.46530711807471564,0.562741929817983,0.5881201529972192,0.6785540422518911,0.5894800552360336,0.5081382272876814,,
65,ND,ND_B5_B11,-0.3503721183691583,-0.34130050347468255,-0.2862506694255035,-0.2675646160225846,-0.32627954330286413,-0.30648757762381684,,
66,SR,SR_B5_B11,0.4821477331127564,0.4912686689305057,0.5568661302267867,0.5781042499847346,0.5082101261768918,0.5311905192473714,,
67,ND,ND_B5_B12,-0.13878506245670752,-0.15537156967855717,-0.13715456410193505,-0.15324964538265828,-0.1369919691509088,-0.08247590812858943,,
68,SR,SR_B5_B12,0.7602985730728545,0.7313850200303942,0.7604879186673679,0.7346635709066064,0.7596415514135552,0.8489835623955386,,
69,SR,SR_B6_B2,4.692369848648314,3.0947673200818095,2.842943239283432,2.074213646352227,2.7636047316433214,3.6643544651685303,,
70,SR,SR_B6_B3,3.258326321765985,2.3496409408025016,2.2454427004381183,1.736498444189561,2.2147124657926054,2.7455710850995847,,
71,SR,SR_B6_B4,2.6907987634857817,1.8429504273873745,1.8626906883551833,1.4869068657247393,1.7462757899269112,2.2553856966243813,,
72,SR,SR_B6_B5,1.6563920836390529,1.3839530743269042,1.4087306822584489,1.2457129272267302,1.352368218974717,1.5528705318910485,,
